epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,196.917,0.89319,0.69134,1.00771,0.41559,0.41869,0.3456,0.19875,1.76872,2.25397,1.73144,0.00156138,0.00156138,0.00156138
130,198.372,0.81843,0.65021,0.97406,0.49205,0.4617,0.38262,0.18783,1.80001,2.18975,1.71564,0.00156055,0.00156055,0.00156055
131,199.789,0.88017,0.6688,0.99323,0.58978,0.39361,0.38274,0.19988,1.77331,2.02127,1.63604,0.00155973,0.00155973,0.00155973
132,201.229,0.86433,0.68179,0.97895,0.4144,0.56787,0.39735,0.22809,1.67717,1.7291,1.59698,0.0015589,0.0015589,0.0015589
133,202.698,0.83915,0.62853,0.95858,0.42068,0.43967,0.33954,0.20065,1.77678,2.17944,1.66883,0.00155808,0.00155808,0.00155808
134,204.156,0.82431,0.64171,0.96518,0.5435,0.41361,0.38108,0.21325,1.64442,2.08952,1.58554,0.00155725,0.00155725,0.00155725
135,205.597,0.82653,0.64841,0.95633,0.66119,0.4059,0.44075,0.26331,1.56671,1.70109,1.51064,0.00155643,0.00155643,0.00155643
136,207.054,0.86233,0.65813,0.99513,0.59409,0.42639,0.4757,0.25474,1.59439,1.74221,1.51275,0.0015556,0.0015556,0.0015556
137,208.513,0.83549,0.63569,0.97352,0.51738,0.42302,0.44234,0.24481,1.46938,1.7282,1.4714,0.00155478,0.00155478,0.00155478
138,210.014,0.84997,0.66554,0.96196,0.51921,0.42328,0.43571,0.24005,1.44707,1.69868,1.46603,0.00155395,0.00155395,0.00155395
139,211.452,0.84497,0.64531,0.98393,0.56645,0.4459,0.44851,0.22031,1.60368,1.9697,1.62543,0.00155313,0.00155313,0.00155313
140,212.913,0.83203,0.63715,0.97247,0.46055,0.47098,0.35711,0.19203,1.69009,2.06568,1.65484,0.0015523,0.0015523,0.0015523
141,214.391,0.85803,0.66936,0.98807,0.4752,0.45478,0.38764,0.19898,1.68582,1.92656,1.61476,0.00155148,0.00155148,0.00155148
142,215.869,0.91033,0.6734,0.98777,0.45726,0.3982,0.36038,0.19555,1.73125,1.83374,1.64188,0.00155065,0.00155065,0.00155065
143,217.317,0.84707,0.62666,0.96208,0.3928,0.49675,0.39631,0.2361,1.61572,1.82922,1.62209,0.00154983,0.00154983,0.00154983
144,218.724,0.80861,0.61539,0.98573,0.46651,0.47059,0.40229,0.22399,1.58651,2.67741,1.59646,0.001549,0.001549,0.001549
145,220.173,0.80551,0.64152,0.9667,0.43349,0.4541,0.35524,0.20449,1.63596,2.34754,1.64646,0.00154818,0.00154818,0.00154818
146,221.648,0.82551,0.63101,0.96129,0.47136,0.40689,0.3622,0.20513,1.57509,1.71178,1.57196,0.00154735,0.00154735,0.00154735
147,223.114,0.82739,0.62717,0.95911,0.37577,0.44963,0.34707,0.20576,1.56425,1.77056,1.55005,0.00154653,0.00154653,0.00154653
148,224.549,0.84534,0.62594,0.98161,0.45832,0.40279,0.39553,0.22464,1.55145,1.65963,1.54276,0.0015457,0.0015457,0.0015457
149,226.027,0.82462,0.64424,0.96425,0.4122,0.52279,0.40203,0.21351,1.59113,1.80622,1.53889,0.00154488,0.00154488,0.00154488
150,227.492,0.85023,0.64969,0.97304,0.46031,0.53869,0.41607,0.22229,1.52657,1.78555,1.50971,0.00154405,0.00154405,0.00154405
151,228.949,0.8236,0.62392,0.96442,0.46391,0.51918,0.4355,0.23698,1.53013,1.57935,1.4978,0.00154323,0.00154323,0.00154323
152,230.376,0.83549,0.62596,0.95074,0.60642,0.44279,0.46203,0.23711,1.53968,1.62074,1.48974,0.0015424,0.0015424,0.0015424
153,231.841,0.83726,0.60154,0.95929,0.43915,0.43557,0.39476,0.19622,1.60631,1.80659,1.58251,0.00154157,0.00154157,0.00154157
154,233.3,0.77428,0.61276,0.93978,0.45424,0.47197,0.3872,0.19425,1.5998,1.78713,1.59648,0.00154075,0.00154075,0.00154075
155,234.717,0.80553,0.61578,0.97877,0.48115,0.47194,0.40292,0.20627,1.59714,1.66545,1.57938,0.00153992,0.00153992,0.00153992
156,236.174,0.87932,0.62695,0.97064,0.49895,0.43869,0.42202,0.21554,1.57386,1.61828,1.53569,0.0015391,0.0015391,0.0015391
157,237.608,0.84115,0.6105,0.97468,0.52288,0.39463,0.40934,0.21819,1.57579,1.61216,1.52351,0.00153827,0.00153827,0.00153827
158,239.097,0.7787,0.58593,0.95757,0.49026,0.5023,0.43336,0.24675,1.54417,1.65576,1.52026,0.00153745,0.00153745,0.00153745
159,240.53,0.80414,0.61535,0.95907,0.43616,0.56422,0.43734,0.24266,1.55556,1.72621,1.53575,0.00153662,0.00153662,0.00153662
160,241.977,0.81281,0.60731,0.95627,0.54663,0.47823,0.43747,0.27271,1.56737,1.85242,1.5401,0.0015358,0.0015358,0.0015358
161,243.426,0.84593,0.60568,0.96291,0.57783,0.43869,0.43059,0.27391,1.49536,1.71378,1.48668,0.00153497,0.00153497,0.00153497
162,244.86,0.81592,0.59746,0.96028,0.53704,0.4831,0.43693,0.28484,1.44874,1.70437,1.40855,0.00153415,0.00153415,0.00153415
163,246.295,0.83924,0.59691,0.96189,0.44379,0.51557,0.41296,0.26025,1.4356,1.682,1.42493,0.00153332,0.00153332,0.00153332
